#     Kx        Ky               G
   -1.0000   -1.0000        0.0104014901
   -1.0000   -0.8750        0.0077585327
   -1.0000   -0.7500        0.0129289002
   -1.0000   -0.6250        0.0267794975
   -1.0000   -0.5000        0.0582514042
   -1.0000   -0.3750        0.1349486895
   -1.0000   -0.2500        0.2429166362
   -1.0000   -0.1250        0.3659500629
   -1.0000    0.0000        0.2893015891
   -1.0000    0.1250        0.3659500629
   -1.0000    0.2500        0.2429166362
   -1.0000    0.3750        0.1349486895
   -1.0000    0.5000        0.0582514042
   -1.0000    0.6250        0.0267794975
   -1.0000    0.7500        0.0129289002
   -1.0000    0.8750        0.0077585327
   -1.0000    1.0000        0.0104014901

   -0.8750   -1.0000        0.0077585327
   -0.8750   -0.8750        0.0086687126
   -0.8750   -0.7500        0.0153833737
   -0.8750   -0.6250        0.0343698084
   -0.8750   -0.5000        0.0795201845
   -0.8750   -0.3750        0.1745306812
   -0.8750   -0.2500        0.2802268080
   -0.8750   -0.1250        0.4008857310
   -0.8750    0.0000        0.3819552585
   -0.8750    0.1250        0.4008857310
   -0.8750    0.2500        0.2802268080
   -0.8750    0.3750        0.1745306812
   -0.8750    0.5000        0.0795201845
   -0.8750    0.6250        0.0343698084
   -0.8750    0.7500        0.0153833737
   -0.8750    0.8750        0.0086687126
   -0.8750    1.0000        0.0077585327

   -0.7500   -1.0000        0.0129289002
   -0.7500   -0.8750        0.0153833737
   -0.7500   -0.7500        0.0258876421
   -0.7500   -0.6250        0.0611522687
   -0.7500   -0.5000        0.1661130320
   -0.7500   -0.3750        0.5214339383
   -0.7500   -0.2500        0.6096265987
   -0.7500   -0.1250        0.6272392459
   -0.7500    0.0000        0.5977066904
   -0.7500    0.1250        0.6272392459
   -0.7500    0.2500        0.6096265987
   -0.7500    0.3750        0.5214339383
   -0.7500    0.5000        0.1661130320
   -0.7500    0.6250        0.0611522687
   -0.7500    0.7500        0.0258876421
   -0.7500    0.8750        0.0153833737
   -0.7500    1.0000        0.0129289002

   -0.6250   -1.0000        0.0267794975
   -0.6250   -0.8750        0.0343698084
   -0.6250   -0.7500        0.0611522687
   -0.6250   -0.6250        0.1410911493
   -0.6250   -0.5000        0.6391067952
   -0.6250   -0.3750        1.0683335289
   -0.6250   -0.2500        1.4744090140
   -0.6250   -0.1250        0.8144005388
   -0.6250    0.0000        0.7125048041
   -0.6250    0.1250        0.8144005388
   -0.6250    0.2500        1.4744090140
   -0.6250    0.3750        1.0683335289
   -0.6250    0.5000        0.6391067952
   -0.6250    0.6250        0.1410911493
   -0.6250    0.7500        0.0611522687
   -0.6250    0.8750        0.0343698084
   -0.6250    1.0000        0.0267794975

   -0.5000   -1.0000        0.0582514042
   -0.5000   -0.8750        0.0795201845
   -0.5000   -0.7500        0.1661130320
   -0.5000   -0.6250        0.6391067952
   -0.5000   -0.5000        0.8675308675
   -0.5000   -0.3750        1.4410248399
   -0.5000   -0.2500        1.4911236316
   -0.5000   -0.1250        0.7220647782
   -0.5000    0.0000        0.5217268020
   -0.5000    0.1250        0.7220647782
   -0.5000    0.2500        1.4911236316
   -0.5000    0.3750        1.4410248399
   -0.5000    0.5000        0.8675308675
   -0.5000    0.6250        0.6391067952
   -0.5000    0.7500        0.1661130320
   -0.5000    0.8750        0.0795201845
   -0.5000    1.0000        0.0582514042

   -0.3750   -1.0000        0.1349486895
   -0.3750   -0.8750        0.1745306812
   -0.3750   -0.7500        0.5214339383
   -0.3750   -0.6250        1.0683335289
   -0.3750   -0.5000        1.4410248399
   -0.3750   -0.3750        1.6333945394
   -0.3750   -0.2500        0.8483133726
   -0.3750   -0.1250        0.4417965300
   -0.3750    0.0000        0.3615740836
   -0.3750    0.1250        0.4417965300
   -0.3750    0.2500        0.8483133726
   -0.3750    0.3750        1.6333945394
   -0.3750    0.5000        1.4410248399
   -0.3750    0.6250        1.0683335289
   -0.3750    0.7500        0.5214339383
   -0.3750    0.8750        0.1745306812
   -0.3750    1.0000        0.1349486895

   -0.2500   -1.0000        0.2429166362
   -0.2500   -0.8750        0.2802268080
   -0.2500   -0.7500        0.6096265987
   -0.2500   -0.6250        1.4744090140
   -0.2500   -0.5000        1.4911236316
   -0.2500   -0.3750        0.8483133726
   -0.2500   -0.2500        0.4101286829
   -0.2500   -0.1250        0.2827873603
   -0.2500    0.0000        0.2702534385
   -0.2500    0.1250        0.2827873603
   -0.2500    0.2500        0.4101286829
   -0.2500    0.3750        0.8483133726
   -0.2500    0.5000        1.4911236316
   -0.2500    0.6250        1.4744090140
   -0.2500    0.7500        0.6096265987
   -0.2500    0.8750        0.2802268080
   -0.2500    1.0000        0.2429166362

   -0.1250   -1.0000        0.3659500629
   -0.1250   -0.8750        0.4008857310
   -0.1250   -0.7500        0.6272392459
   -0.1250   -0.6250        0.8144005388
   -0.1250   -0.5000        0.7220647782
   -0.1250   -0.3750        0.4417965300
   -0.1250   -0.2500        0.2827873603
   -0.1250   -0.1250        0.2705712579
   -0.1250    0.0000        0.2349569872
   -0.1250    0.1250        0.2705712579
   -0.1250    0.2500        0.2827873603
   -0.1250    0.3750        0.4417965300
   -0.1250    0.5000        0.7220647782
   -0.1250    0.6250        0.8144005388
   -0.1250    0.7500        0.6272392459
   -0.1250    0.8750        0.4008857310
   -0.1250    1.0000        0.3659500629

    0.0000   -1.0000        0.2893015891
    0.0000   -0.8750        0.3819552585
    0.0000   -0.7500        0.5977066904
    0.0000   -0.6250        0.7125048041
    0.0000   -0.5000        0.5217268020
    0.0000   -0.3750        0.3615740836
    0.0000   -0.2500        0.2702534385
    0.0000   -0.1250        0.2349569872
    0.0000    0.0000        0.2115018070
    0.0000    0.1250        0.2349569872
    0.0000    0.2500        0.2702534385
    0.0000    0.3750        0.3615740836
    0.0000    0.5000        0.5217268020
    0.0000    0.6250        0.7125048041
    0.0000    0.7500        0.5977066904
    0.0000    0.8750        0.3819552585
    0.0000    1.0000        0.2893015891

    0.1250   -1.0000        0.3659500629
    0.1250   -0.8750        0.4008857310
    0.1250   -0.7500        0.6272392459
    0.1250   -0.6250        0.8144005388
    0.1250   -0.5000        0.7220647782
    0.1250   -0.3750        0.4417965300
    0.1250   -0.2500        0.2827873603
    0.1250   -0.1250        0.2705712579
    0.1250    0.0000        0.2349569872
    0.1250    0.1250        0.2705712579
    0.1250    0.2500        0.2827873603
    0.1250    0.3750        0.4417965300
    0.1250    0.5000        0.7220647782
    0.1250    0.6250        0.8144005388
    0.1250    0.7500        0.6272392459
    0.1250    0.8750        0.4008857310
    0.1250    1.0000        0.3659500629

    0.2500   -1.0000        0.2429166362
    0.2500   -0.8750        0.2802268080
    0.2500   -0.7500        0.6096265987
    0.2500   -0.6250        1.4744090140
    0.2500   -0.5000        1.4911236316
    0.2500   -0.3750        0.8483133726
    0.2500   -0.2500        0.4101286829
    0.2500   -0.1250        0.2827873603
    0.2500    0.0000        0.2702534385
    0.2500    0.1250        0.2827873603
    0.2500    0.2500        0.4101286829
    0.2500    0.3750        0.8483133726
    0.2500    0.5000        1.4911236316
    0.2500    0.6250        1.4744090140
    0.2500    0.7500        0.6096265987
    0.2500    0.8750        0.2802268080
    0.2500    1.0000        0.2429166362

    0.3750   -1.0000        0.1349486895
    0.3750   -0.8750        0.1745306812
    0.3750   -0.7500        0.5214339383
    0.3750   -0.6250        1.0683335289
    0.3750   -0.5000        1.4410248399
    0.3750   -0.3750        1.6333945394
    0.3750   -0.2500        0.8483133726
    0.3750   -0.1250        0.4417965300
    0.3750    0.0000        0.3615740836
    0.3750    0.1250        0.4417965300
    0.3750    0.2500        0.8483133726
    0.3750    0.3750        1.6333945394
    0.3750    0.5000        1.4410248399
    0.3750    0.6250        1.0683335289
    0.3750    0.7500        0.5214339383
    0.3750    0.8750        0.1745306812
    0.3750    1.0000        0.1349486895

    0.5000   -1.0000        0.0582514042
    0.5000   -0.8750        0.0795201845
    0.5000   -0.7500        0.1661130320
    0.5000   -0.6250        0.6391067952
    0.5000   -0.5000        0.8675308675
    0.5000   -0.3750        1.4410248399
    0.5000   -0.2500        1.4911236316
    0.5000   -0.1250        0.7220647782
    0.5000    0.0000        0.5217268020
    0.5000    0.1250        0.7220647782
    0.5000    0.2500        1.4911236316
    0.5000    0.3750        1.4410248399
    0.5000    0.5000        0.8675308675
    0.5000    0.6250        0.6391067952
    0.5000    0.7500        0.1661130320
    0.5000    0.8750        0.0795201845
    0.5000    1.0000        0.0582514042

    0.6250   -1.0000        0.0267794975
    0.6250   -0.8750        0.0343698084
    0.6250   -0.7500        0.0611522687
    0.6250   -0.6250        0.1410911493
    0.6250   -0.5000        0.6391067952
    0.6250   -0.3750        1.0683335289
    0.6250   -0.2500        1.4744090140
    0.6250   -0.1250        0.8144005388
    0.6250    0.0000        0.7125048041
    0.6250    0.1250        0.8144005388
    0.6250    0.2500        1.4744090140
    0.6250    0.3750        1.0683335289
    0.6250    0.5000        0.6391067952
    0.6250    0.6250        0.1410911493
    0.6250    0.7500        0.0611522687
    0.6250    0.8750        0.0343698084
    0.6250    1.0000        0.0267794975

    0.7500   -1.0000        0.0129289002
    0.7500   -0.8750        0.0153833737
    0.7500   -0.7500        0.0258876421
    0.7500   -0.6250        0.0611522687
    0.7500   -0.5000        0.1661130320
    0.7500   -0.3750        0.5214339383
    0.7500   -0.2500        0.6096265987
    0.7500   -0.1250        0.6272392459
    0.7500    0.0000        0.5977066904
    0.7500    0.1250        0.6272392459
    0.7500    0.2500        0.6096265987
    0.7500    0.3750        0.5214339383
    0.7500    0.5000        0.1661130320
    0.7500    0.6250        0.0611522687
    0.7500    0.7500        0.0258876421
    0.7500    0.8750        0.0153833737
    0.7500    1.0000        0.0129289002

    0.8750   -1.0000        0.0077585327
    0.8750   -0.8750        0.0086687126
    0.8750   -0.7500        0.0153833737
    0.8750   -0.6250        0.0343698084
    0.8750   -0.5000        0.0795201845
    0.8750   -0.3750        0.1745306812
    0.8750   -0.2500        0.2802268080
    0.8750   -0.1250        0.4008857310
    0.8750    0.0000        0.3819552585
    0.8750    0.1250        0.4008857310
    0.8750    0.2500        0.2802268080
    0.8750    0.3750        0.1745306812
    0.8750    0.5000        0.0795201845
    0.8750    0.6250        0.0343698084
    0.8750    0.7500        0.0153833737
    0.8750    0.8750        0.0086687126
    0.8750    1.0000        0.0077585327

    1.0000   -1.0000        0.0104014901
    1.0000   -0.8750        0.0077585327
    1.0000   -0.7500        0.0129289002
    1.0000   -0.6250        0.0267794975
    1.0000   -0.5000        0.0582514042
    1.0000   -0.3750        0.1349486895
    1.0000   -0.2500        0.2429166362
    1.0000   -0.1250        0.3659500629
    1.0000    0.0000        0.2893015891
    1.0000    0.1250        0.3659500629
    1.0000    0.2500        0.2429166362
    1.0000    0.3750        0.1349486895
    1.0000    0.5000        0.0582514042
    1.0000    0.6250        0.0267794975
    1.0000    0.7500        0.0129289002
    1.0000    0.8750        0.0077585327
    1.0000    1.0000        0.0104014901

