#     Kx        Ky              G
   -1.0000   -1.0000        0.0086519103
   -1.0000   -0.8750        0.0095380277
   -1.0000   -0.7500        0.0103965999
   -1.0000   -0.6250        0.0183221451
   -1.0000   -0.5000        0.0536841191
   -1.0000   -0.3750        0.1050073355
   -1.0000   -0.2500        0.2095407620
   -1.0000   -0.1250        0.2505260482
   -1.0000    0.0000        0.3469992280
   -1.0000    0.1250        0.2505260482
   -1.0000    0.2500        0.2095407620
   -1.0000    0.3750        0.1050073355
   -1.0000    0.5000        0.0536841191
   -1.0000    0.6250        0.0183221451
   -1.0000    0.7500        0.0103965999
   -1.0000    0.8750        0.0095380277
   -1.0000    1.0000        0.0086519103

   -0.8750   -1.0000        0.0095380277
   -0.8750   -0.8750        0.0115754053
   -0.8750   -0.7500        0.0128516800
   -0.8750   -0.6250        0.0257038963
   -0.8750   -0.5000        0.0657164743
   -0.8750   -0.3750        0.1760564744
   -0.8750   -0.2500        0.3646813370
   -0.8750   -0.1250        0.2932880707
   -0.8750    0.0000        0.3360210881
   -0.8750    0.1250        0.2932880707
   -0.8750    0.2500        0.3646813370
   -0.8750    0.3750        0.1760564744
   -0.8750    0.5000        0.0657164743
   -0.8750    0.6250        0.0257038963
   -0.8750    0.7500        0.0128516800
   -0.8750    0.8750        0.0115754053
   -0.8750    1.0000        0.0095380277

   -0.7500   -1.0000        0.0103965999
   -0.7500   -0.8750        0.0128516800
   -0.7500   -0.7500        0.0216133153
   -0.7500   -0.6250        0.0448702972
   -0.7500   -0.5000        0.1642638901
   -0.7500   -0.3750        0.5367086045
   -0.7500   -0.2500        0.9891863801
   -0.7500   -0.1250        0.7522513457
   -0.7500    0.0000        0.4031374082
   -0.7500    0.1250        0.7522513457
   -0.7500    0.2500        0.9891863801
   -0.7500    0.3750        0.5367086045
   -0.7500    0.5000        0.1642638901
   -0.7500    0.6250        0.0448702972
   -0.7500    0.7500        0.0216133153
   -0.7500    0.8750        0.0128516800
   -0.7500    1.0000        0.0103965999

   -0.6250   -1.0000        0.0183221451
   -0.6250   -0.8750        0.0257038963
   -0.6250   -0.7500        0.0448702972
   -0.6250   -0.6250        0.1517142635
   -0.6250   -0.5000        0.8051606864
   -0.6250   -0.3750        1.2771832496
   -0.6250   -0.2500        2.3382626772
   -0.6250   -0.1250        1.0532401875
   -0.6250    0.0000        0.6674676239
   -0.6250    0.1250        1.0532401875
   -0.6250    0.2500        2.3382626772
   -0.6250    0.3750        1.2771832496
   -0.6250    0.5000        0.8051606864
   -0.6250    0.6250        0.1517142635
   -0.6250    0.7500        0.0448702972
   -0.6250    0.8750        0.0257038963
   -0.6250    1.0000        0.0183221451

   -0.5000   -1.0000        0.0536841191
   -0.5000   -0.8750        0.0657164743
   -0.5000   -0.7500        0.1642638901
